time,open,high,low,close,"NVDA, CBOE BZX: Open","NVDA, CBOE BZX: High","NVDA, CBOE BZX: Low","NVDA, CBOE BZX: Close","INTC, CBOE BZX: Open","INTC, CBOE BZX: High","INTC, CBOE BZX: Low","INTC, CBOE BZX: Close","AMD, CBOE BZX: Open","AMD, CBOE BZX: High","AMD, CBOE BZX: Low","AMD, CBOE BZX: Close","TSLA, CBOE BZX: Open","TSLA, CBOE BZX: High","TSLA, CBOE BZX: Low","TSLA, CBOE BZX: Close","MSFT, CBOE BZX: Open","MSFT, CBOE BZX: High","MSFT, CBOE BZX: Low","MSFT, CBOE BZX: Close","GOOGL, CBOE BZX: Open","GOOGL, CBOE BZX: High","GOOGL, CBOE BZX: Low","GOOGL, CBOE BZX: Close","AMZN, CBOE BZX: Open","AMZN, CBOE BZX: High","AMZN, CBOE BZX: Low","AMZN, CBOE BZX: Close","AAPL, CBOE BZX: Open","AAPL, CBOE BZX: High","AAPL, CBOE BZX: Low","AAPL, CBOE BZX: Close","FB, CBOE BZX: Open","FB, CBOE BZX: High","FB, CBOE BZX: Low","FB, CBOE BZX: Close",Volume,Volume MA
1437658200,112.73,113.1,111.91,112.2,19.45,19.94,19.41,19.65,28.66,28.97,28.43,28.595,1.8,1.81,1.75,1.76,269.65,269.9,265.27,267.2,45.27,46.23,45.1,46.11,691.85,696.07,671.59,674.73,491.66,491.66,475.7,482.18,126.2,127.09,125.06,125.16,96.96,97.45,94.81,95.44,25698255,30329100.4
1437744600,112.8,113.003,110.93,111.1,19.79,19.81,19.34,19.42,28.53,28.64,28.06,28.06,1.76,1.77,1.65,1.67,267.38,271.09,263.92,265.41,45.91,46.32,45.8,45.94,676.77,677.79,653.18,654.77,578.99,580.57,529.35,529.42,125.32,125.74,123.9,124.5,97.35,97.76,95.88,96.95,30844714,30955003.4
1438003800,110.47,110.946,109.94,110.18,19.25,19.53,19.09,19.31,28.07,28.415,27.62,28.35,1.67,1.7,1.61,1.62,262.43,264.4321,250.79,253.01,45.94,46.01,45.25,45.35,651.57,667.07,651.55,658.27,527.75,544.95,526.6,531.41,123.09,123.61,122.12,122.77,96.58,96.61,93.8301,94.17,35994837,31139161.3
1438090200,110.67,111.35,109.785,111.13,19.36,19.86,19.16,19.73,28.51,29.18,28.44,28.96,1.62,1.77,1.62,1.77,255.75,265.4,251.8373,264.82,45.58,45.639,44.79,45.34,661.76,664.1,653.41,659.66,536,536.39,523.12,526.03,123.38,123.91,122.55,123.38,94.84,95.56,93.31,95.29,33553494,30273090.95
1438176600,111.37,111.79,110.94,111.55,19.69,20.13,19.61,19.97,28.95,29.13,28.79,29.01,1.77,1.99,1.76,1.96,264.27,267.89,262,263.82,45.4,46.78,45.26,46.29,662.26,663.33,652.84,661.43,530.92,532.9655,525.02,529,123.15,123.5,122.27,122.99,96.32,97.28,94.74,96.99,26714068,29868298.35
1438263000,111.29,112.2663,110.621,112.08,19.92,20.22,19.92,20.02,29.1,29.45,28.85,28.91,1.94,1.99,1.88,1.93,262.69,266.94,262.11,266.79,46.26,47.4,45.93,46.88,657.44,668.05,651.69,664.56,527.65,539.2,524.29,536.76,122.32,122.5699,121.71,122.37,94.91,95.81,91.8,95.21,25438057,30075553.3
1438349400,112.43,112.49,111.72,111.95,20.1,20.11,19.83,19.95,29.12,29.12,28.77,28.95,1.94,1.985,1.92,1.93,267.6,269.3599,265.123,266.15,47.29,47.37,46.5,46.7,664.7,664.9999,657.2,657.5,539.09,542.84,534.5201,536.15,122.6,122.6425,120.91,121.3,94.95,96.33,93.95,94.01,22081731,30154667.5
1438608600,111.97,112.28,110.861,111.6,20.11,20.31,19.85,20.29,29,29.35,28.9,29.05,1.93,2.2,1.9,2.2,266.29,266.7099,257.07,259.99,46.98,47,46.45,46.81,657.66,666.67,657.66,664.72,537.45,540.44,529.36,535.03,121.5,122.57,117.52,118.44,93.53,95.08,92.8,94.14,25001780,30189205.5
1438695000,111.55,111.745,110.93,111.39,20.22,20.43,20.14,20.37,28.98,29.15,28.86,29.13,2.18,2.18,2.05,2.13,260.01,266.72,258.34,266.28,46.75,47.71,46.68,47.54,664.34,668,660.51,661.28,529.69,536.95,529.163,531.9,117.42,117.7,113.25,114.64,93.79,94.73,93.33,94.06,22132319,29084282.85
1438781400,112.01,113,111.88,112.25,20.87,20.89,20.535,20.58,29.19,29.39,29.02,29.12,2.11,2.21,2.1,2.16,263.58,271,260.4,270.13,47.98,48.41,47.54,47.58,665.75,679.91,665.5827,673.29,538.8,539.14,534.119,537.01,112.95,117.44,112.1,115.4,95.25,97.09,95.18,96.44,28989897,28549203.95
